Emotion,Path
neutral,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-01-01-01-01-01.wav
neutral,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-01-01-01-02-01.wav
neutral,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-01-01-02-01-01.wav
neutral,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-01-01-02-02-01.wav
calm,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-02-01-01-01-01.wav
calm,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-02-01-01-02-01.wav
calm,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-02-01-02-01-01.wav
calm,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-02-01-02-02-01.wav
calm,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-02-02-01-01-01.wav
calm,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-02-02-01-02-01.wav
calm,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-02-02-02-01-01.wav
calm,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-02-02-02-02-01.wav
happy,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-03-01-01-01-01.wav
happy,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-03-01-01-02-01.wav
happy,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-03-01-02-01-01.wav
happy,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-03-01-02-02-01.wav
happy,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-03-02-01-01-01.wav
happy,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-03-02-01-02-01.wav
happy,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-03-02-02-01-01.wav
happy,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-03-02-02-02-01.wav
sad,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-04-01-01-01-01.wav
sad,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-04-01-01-02-01.wav
sad,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-04-01-02-01-01.wav
sad,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-04-01-02-02-01.wav
sad,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-04-02-01-01-01.wav
sad,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-04-02-01-02-01.wav
sad,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-04-02-02-01-01.wav
sad,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-04-02-02-02-01.wav
angry,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-05-01-01-01-01.wav
angry,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-05-01-01-02-01.wav
angry,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-05-01-02-01-01.wav
angry,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-05-01-02-02-01.wav
angry,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-05-02-01-01-01.wav
angry,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-05-02-01-02-01.wav
angry,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-05-02-02-01-01.wav
angry,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-05-02-02-02-01.wav
fear,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-06-01-01-01-01.wav
fear,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-06-01-01-02-01.wav
fear,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-06-01-02-01-01.wav
fear,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-06-01-02-02-01.wav
fear,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-06-02-01-01-01.wav
fear,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-06-02-01-02-01.wav
fear,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-06-02-02-01-01.wav
fear,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-06-02-02-02-01.wav
disgust,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-07-01-01-01-01.wav
disgust,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-07-01-01-02-01.wav
disgust,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-07-01-02-01-01.wav
disgust,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-07-01-02-02-01.wav
disgust,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-07-02-01-01-01.wav
disgust,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-07-02-01-02-01.wav
disgust,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-07-02-02-01-01.wav
disgust,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-07-02-02-02-01.wav
surprise,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-08-01-01-01-01.wav
surprise,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-08-01-01-02-01.wav
surprise,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-08-01-02-01-01.wav
surprise,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-08-01-02-02-01.wav
surprise,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-08-02-01-01-01.wav
surprise,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-08-02-01-02-01.wav
surprise,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-08-02-02-01-01.wav
surprise,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_01\03-01-08-02-02-02-01.wav
neutral,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_02\03-01-01-01-01-01-02.wav
neutral,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_02\03-01-01-01-01-02-02.wav
neutral,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_02\03-01-01-01-02-01-02.wav
neutral,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_02\03-01-01-01-02-02-02.wav
calm,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_02\03-01-02-01-01-01-02.wav
calm,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_02\03-01-02-01-01-02-02.wav
calm,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_02\03-01-02-01-02-01-02.wav
calm,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_02\03-01-02-01-02-02-02.wav
calm,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_02\03-01-02-02-01-01-02.wav
calm,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_02\03-01-02-02-01-02-02.wav
calm,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_02\03-01-02-02-02-01-02.wav
calm,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_02\03-01-02-02-02-02-02.wav
happy,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_02\03-01-03-01-01-01-02.wav
happy,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_02\03-01-03-01-01-02-02.wav
happy,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_02\03-01-03-01-02-01-02.wav
happy,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_02\03-01-03-01-02-02-02.wav
happy,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_02\03-01-03-02-01-01-02.wav
happy,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_02\03-01-03-02-01-02-02.wav
happy,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_02\03-01-03-02-02-01-02.wav
happy,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_02\03-01-03-02-02-02-02.wav
sad,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_02\03-01-04-01-01-01-02.wav
sad,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_02\03-01-04-01-01-02-02.wav
sad,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_02\03-01-04-01-02-01-02.wav
sad,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_02\03-01-04-01-02-02-02.wav
sad,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_02\03-01-04-02-01-01-02.wav
sad,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_02\03-01-04-02-01-02-02.wav
sad,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_02\03-01-04-02-02-01-02.wav
sad,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_02\03-01-04-02-02-02-02.wav
angry,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_02\03-01-05-01-01-01-02.wav
angry,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_02\03-01-05-01-01-02-02.wav
angry,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_02\03-01-05-01-02-01-02.wav
angry,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_02\03-01-05-01-02-02-02.wav
angry,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_02\03-01-05-02-01-01-02.wav
angry,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_02\03-01-05-02-01-02-02.wav
angry,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_02\03-01-05-02-02-01-02.wav
angry,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_02\03-01-05-02-02-02-02.wav
fear,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_02\03-01-06-01-01-01-02.wav
fear,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_02\03-01-06-01-01-02-02.wav
fear,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_02\03-01-06-01-02-01-02.wav
fear,speech-emotion-recognition-en/Ravdess/audio_speech_actors_01-24/Actor_02\03-01-06-01-02-02-02.wav
